method,mae,wape,mean_inventory_cost,shortage_units,overage_units,shortage_cost,overage_cost,total_cost
lgbm_newsvendor,21.805381527611857,0.6108610245176732,542.7325086756949,91502.34091258142,23805.5988657429,2550825.247912979,317652.6892001122,2868477.9371130913
lgbm_point,20.902567320909558,0.5736124767157803,579.8849873096452,93613.65961722321,16936.90433709053,2627788.0932988557,441932.3813428334,3069720.4746416896
baseline_ma28,23.972330338320916,0.6857575994222574,726.7870680983912,69434.34231246445,57862.22361280362,1857251.4042156942,2022484.5231455546,3879735.9273612485
baseline_weighted,24.604348547141566,0.7296737033618382,744.9222692668276,69307.62187154297,61486.73032666167,1845247.1659471078,2131203.003112964,3976450.169060072
baseline_croston_sba,24.798527730891422,0.7323508089040355,746.4679425681703,71334.84909967364,60501.9746614628,1902085.3794269662,2088079.791695791,3990165.1711227573
baseline_last14,26.475402076881995,0.8008466185361346,803.5964731550338,73457.33333333333,67656.33333333333,1954661.8150000002,2343753.228333333,4298415.043333333
baseline_tsb,37.26087487028251,1.2151635750561876,1484.4078387088266,66970.94717931557,133819.56138105606,1788609.5664642984,6273076.005798627,8061685.572262925
