fold_id,method,rows,mae,wape,mean_inventory_cost,shortage_units,overage_units,shortage_cost,overage_cost,total_cost
fold_01,baseline_last14,4604,10.309296264118158,0.442604300714299,271.1308253692442,29307.0,18157.0,802381.25,445905.07,1248286.32
fold_01,baseline_ma28,4604,11.032038188826888,0.4736334491631604,275.48304947008864,30277.267070428683,20514.236750930304,831922.1990680189,436401.7606922692,1268323.9597602882
fold_01,baseline_weighted,4604,10.370491446061877,0.4452315654681072,266.91007036911077,29205.151614746657,18540.591002922225,800583.0620100386,428270.9019693474,1228853.963979386
fold_01,baseline_croston_sba,4604,11.130710802279394,0.4778697153405913,278.60177640726323,32020.855401939254,19224.93713175507,878554.3366709811,404128.2419080589,1282682.57857904
fold_01,baseline_tsb,4604,10.79440906107979,0.4634314265205557,271.850269830127,28068.973465158066,21628.485852053294,773785.8956384427,477812.74665946193,1251598.6422979047
fold_01,lgbm_point,4604,10.31149925945584,0.44269888090541304,273.19828627945463,32940.37772478277,14533.76486575191,934376.3311278664,323428.5789027428,1257804.9100306092
fold_01,lgbm_newsvendor,4604,11.618520711656606,0.4988126350404429,264.0135397326731,34475.33018954963,19016.339166917372,971122.0294253756,244396.3075038513,1215518.336929227
fold_02,baseline_last14,4821,8.721427089815391,0.3982684802788618,261.04018875751916,19789.0,22257.0,547740.39,710734.36,1258474.75
fold_02,baseline_ma28,4821,9.335297988287994,0.4263012124572464,274.88942842059987,23283.40489251315,21722.066709023267,660431.7443146947,664810.1901010175,1325241.934415712
fold_02,baseline_weighted,4821,8.64217465657679,0.3946493769120288,257.8395317948698,20303.09619178908,21360.827827567624,567837.6052519458,675206.7775311214,1243044.3827830672
fold_02,baseline_croston_sba,4821,9.457471766439143,0.4318803412458143,268.42186632643995,25172.7758682519,20421.695517751206,703418.1669241259,590643.6506356411,1294061.817559767
fold_02,baseline_tsb,4821,8.458753975012916,0.38627337659168404,251.2393835694409,20637.907481483104,20141.74543205416,583692.2799173251,627532.7882709494,1211225.0681882745
fold_02,lgbm_point,4821,8.505717632194484,0.38841799629456303,260.86445860009496,27788.01557802396,13218.049126785654,824678.5299118396,432949.0249992184,1257627.554911058
fold_02,lgbm_newsvendor,4821,9.119353621518542,0.41644000122514385,232.6491791203948,27466.056502726078,16498.347306614814,807344.8584798791,314256.83405954426,1121601.6925394232
fold_03,baseline_last14,5216,56.0659509202454,0.7544152018119998,1481.929486196319,284567.0,7873.0,7554015.14,175729.06,7729744.199999999
fold_03,baseline_ma28,5216,55.10999556496613,0.7415520069416913,1466.9710486042914,280463.00210979243,6990.734757070901,7473284.734858997,178436.254660986,7651720.9895199835
fold_03,baseline_weighted,5216,55.623441736539014,0.7484608632223556,1473.85918723907,282849.13283562,7282.739262167477,7517646.343803968,170003.17683502097,7687649.520638989
